season,week,celebrity_name,mean,std,cv,certainty,ci_low,ci_high,regime
13,4,David Arquette,0.12857485672358424,0.0024614699984001013,0.0191442562031539,0.9812153617246726,0.12415620084944927,0.13269373147721555,percent
13,4,Ricki Lake,0.09911444693033104,0.0016017772817024459,0.016160886039432353,0.9840961345182053,0.0963660832886588,0.10205079498482827,percent
13,4,J.R. Martinez,0.11281332407715014,0.0016963914638797126,0.015037155209783501,0.985185611056104,0.10991791006711794,0.1156184598865166,percent
13,4,Hope Solo,0.12278138818082682,0.002910568614901691,0.023705291640905204,0.9768436367043606,0.11834836503934747,0.12768201621685443,percent
13,4,Chynna Phillips,1.0000025700310224e-08,3.875111680877278e-14,3.875101721745638e-06,0.9999961249132946,9.999999999998842e-09,1.0000108991438191e-08,percent
13,4,Carson Kressley,0.14129600980640572,0.0024126959125620215,0.017075470962469037,0.9832112056086553,0.1360477657671459,0.14473735975596158,percent
13,4,Chaz Bono,0.13636448801781878,0.002019364397422997,0.014808579761316788,0.9854075142281514,0.13254325273548773,0.13923573730816233,percent
13,4,Nancy Grace,0.13623402940584523,0.0022301076050925146,0.016369681017427428,0.9838939695632787,0.1327123869901563,0.13984369208616473,percent
13,4,Rob Kardashian,0.12282144685801233,0.0015036171040435475,0.012242300856313827,0.9879057604627298,0.12061711699367386,0.1254180960385515,percent
13,5,David Arquette,0.1386672041409456,0.0022788694761163297,0.016434091177031426,0.9838316214305636,0.13415790685333023,0.14244301652766375,percent
13,5,Ricki Lake,0.1429170650535841,0.0022280112726684623,0.015589539792418148,0.9846497633329262,0.14015258075554773,0.1475312780567128,percent
13,5,J.R. Martinez,0.12283070619487875,0.001853236203844744,0.0150877273383454,0.9851365286644664,0.11937853635842255,0.12547515724634872,percent
13,5,Hope Solo,0.14345711459342098,0.0022128123413179867,0.015424904840651713,0.9848094085863768,0.13933915042991252,0.14611737648570278,percent
13,5,Carson Kressley,1.000000734516384e-08,1.022699079769795e-14,1.0226983285811165e-06,0.9999989773027173,9.999999999999573e-09,1.0000031159930839e-08,percent
13,5,Chaz Bono,0.16009338999491846,0.002485256717160045,0.01552379343856064,0.9847135108612305,0.15632641372567377,0.1647930746739221,percent
13,5,Nancy Grace,0.15385123901144052,0.0017826174081637617,0.01158663017352239,0.9885460821367965,0.15158404895026603,0.15717328432834884,percent
13,5,Rob Kardashian,0.13818327101080424,0.0022055656224840674,0.015961162348744944,0.9842895939921116,0.13494426218864428,0.14236691403530996,percent
13,6,David Arquette,0.17458754795778236,0.0020182245269227614,0.011559956884272155,0.9885721485853609,0.17110756762005616,0.1778358708878717,percent
13,6,Ricki Lake,0.13979000167795227,0.0025818216780426266,0.01846928712391476,0.9818656415491225,0.1351799572130939,0.14381278027802583,percent
13,6,J.R. Martinez,0.14090215089690675,0.0026189836029390525,0.01858725070034788,0.9817519307378254,0.13584493134033537,0.14427457921966258,percent
13,6,Hope Solo,0.1933681172891566,0.002658437888122044,0.013748067289431688,0.9864383787914967,0.1890731419880975,0.19824542093621308,percent
13,6,Chaz Bono,1.0000001359954177e-08,3.051345922373078e-15,3.051345507404071e-07,0.9999996948655424,9.999999999999924e-09,1.0000010155409779e-08,percent
13,6,Nancy Grace,0.1692980540675924,0.0020938616027366386,0.012367901180368337,0.9877831950559198,0.16629008167880313,0.1737692665405919,percent
13,6,Rob Kardashian,0.18205411811060818,0.002493457624212686,0.013696244007497646,0.986488808567198,0.178149628933263,0.1867504086466302,percent
13,7,David Arquette,1.0000000570731985e-08,1.246736161477473e-15,1.2467360903222567e-07,0.9999998753264066,9.999999999999957e-09,1.0000003767570208e-08,percent
13,7,Ricki Lake,0.18744272518854038,0.002893696484943238,0.015437763626369581,0.9847969376564865,0.1805234969039125,0.1911917357939996,percent
13,7,J.R. Martinez,0.2046729940012296,0.0024271488699867793,0.011858666952280954,0.9882803129136609,0.20054993994120582,0.20931695960725624,percent
13,7,Hope Solo,0.1974697260332785,0.002756546593628781,0.013959337712172828,0.9862328426861084,0.1923765935514093,0.20131754818926118,percent
13,7,Nancy Grace,0.21672685650051612,0.002195433148203631,0.010129954282792833,0.9899716326202946,0.21344413633507436,0.22086072903470785,percent
13,7,Rob Kardashian,0.19368768827643484,0.0030888154001885667,0.015947401859534558,0.9843029256924667,0.18794534765710358,0.19804417732809285,percent
13,8,Ricki Lake,0.2565827876444888,0.0034796222127551637,0.01356140154489394,0.9866200493386752,0.25001055508952685,0.2610058282004167,percent
13,8,J.R. Martinez,0.22854606521097262,0.003320231480354519,0.014527624780105438,0.9856804049241594,0.2237197015386424,0.23451351452124966,percent
13,8,Hope Solo,0.25577520431138445,0.0036995320455418756,0.014463998007555148,0.9857422264013677,0.25023962067419336,0.2628869530851352,percent
13,8,Nancy Grace,1.0000000000646551e-08,1.7763396257530575e-18,1.7763396256382082e-10,0.9999999998223661,9.999999999999999e-09,1.00000000056973e-08,percent
13,8,Rob Kardashian,0.259095932833154,0.003845070019727588,0.01484033337645496,0.9853766815444949,0.2517277614082029,0.2660831028569839,percent
13,9,Ricki Lake,0.3146185263782078,0.002093383863562516,0.00665372089705241,0.9933902584782349,0.3105988371320897,0.3184133476098014,percent
13,9,J.R. Martinez,0.3549097886530499,0.0026657050719821026,0.007510937024585769,0.9925450565859192,0.3500659109978484,0.35914928954158004,percent
13,9,Hope Solo,0.007132488565854642,0.0010210597703834584,0.1431561734668005,0.8747711145777598,0.005469044927322163,0.009102737360340302,percent
13,9,Rob Kardashian,0.32333919640288766,0.0034029679390828447,0.01052445226851703,0.989585158236507,0.3175348384134024,0.32928321400655747,percent
13,10,Ricki Lake,0.1818181818181818,2.7755575615628914e-17,1.5265566588595905e-16,0.9999999999999998,0.18181818181818182,0.18181818181818182,percent
13,10,J.R. Martinez,0.5454545454545454,1.1102230246251565e-16,2.0354088784794538e-16,0.9999999999999998,0.5454545454545455,0.5454545454545455,percent
13,10,Rob Kardashian,0.2727272727272727,5.551115123125783e-17,2.0354088784794538e-16,0.9999999999999998,0.27272727272727276,0.27272727272727276,percent
14,1,William Levy,0.08287606535307082,0.0017640904109343155,0.021285885175881487,0.9791577603442393,0.0796658925179308,0.08606758504342821,percent
14,1,Jack Wagner,0.09821872193318991,0.001519905263345588,0.015474700071738401,0.984761117071016,0.09600348127603718,0.10109804821711094,percent
14,1,Sherri Sheperd,0.09088913078881429,0.0019561842358648334,0.0215227521584526,0.9789307168019746,0.08790642633710087,0.09409691240986866,percent
14,1,Jaleel White,0.09453662042667337,0.001237081425438531,0.01308573777923513,0.9870832869408269,0.09260921622893181,0.09682364781750413,percent
14,1,Roshon Fegan,0.07909173316077092,0.0016919983192056828,0.02139285929878832,0.9790552096541235,0.07596065112365287,0.08160662984538877,percent
14,1,Melissa Gilbert,0.10130666019582446,0.0015289655204232177,0.015092448191143082,0.9851319471265527,0.0990659513086166,0.10418808152393512,percent
14,1,Martina Navratilova,1.0000097801968607e-08,1.2608518383999523e-13,1.2608395071413628e-05,0.9999873917638983,9.999999999999999e-09,1.0000393200448117e-08,percent
14,1,Donald Driver,0.08732702633249043,0.0016349215242695565,0.018721827513566398,0.9816222377807872,0.08482372829311685,0.090570505039307,percent
14,1,Gavin DeGraw,0.0979850393982067,0.0018881426265256948,0.01926970319267179,0.9810945982870745,0.09458144795960458,0.10077366556862476,percent
