Name,Season,Role,Start Date,End Date,Average_Popularity_Score
Tom DeLay,9,Celebrity,2009-09-21,2009-11-24,5.907692307692308
Alec Mazo,9,Professional,2009-09-21,2009-11-24,4.3538461538461535
Anna Demidova,9,Professional,2009-09-21,2009-11-24,5.476923076923077
Anna Trebunskaya,9,Professional,2009-09-21,2009-11-24,10.569230769230769
Chelsie Hightower,9,Professional,2009-09-21,2009-11-24,18.215384615384615
Cheryl Burke,9,Professional,2009-09-21,2009-11-24,14.876923076923077
Derek Hough,9,Professional,2009-09-21,2009-11-24,18.646153846153847
Dmitry Chaplin,9,Professional,2009-09-21,2009-11-24,14.323076923076924
Edyta Sliwinska,9,Professional,2009-09-21,2009-11-24,8.476923076923077
Jonathan Roberts,9,Professional,2009-09-21,2009-11-24,2.707692307692308
Karina Smirnoff,9,Professional,2009-09-21,2009-11-24,17.16923076923077
Kym Johnson,9,Professional,2009-09-21,2009-11-24,6.230769230769231
Lacey Schwimmer,9,Professional,2009-09-21,2009-11-24,13.76923076923077
Louis van Amstel,9,Professional,2009-09-21,2009-11-24,14.338461538461539
Maksim Chmerkoskiy,9,Professional,2009-09-21,2009-11-24,1.5384615384615385
Mark Ballas,9,Professional,2009-09-21,2009-11-24,11.569230769230769
Tony Dovolani,9,Professional,2009-09-21,2009-11-24,2.523076923076923
Aiden Turner,10,Celebrity,2010-03-22,2010-05-25,5.2153846153846155
Buzz Aldrin,10,Celebrity,2010-03-22,2010-05-25,10.03076923076923
Chad Ochocinco,10,Celebrity,2010-03-22,2010-05-25,20.523076923076925
Erin Andrews,10,Celebrity,2010-03-22,2010-05-25,20.83076923076923
Evan Lysacek,10,Celebrity,2010-03-22,2010-05-25,26.56923076923077
Jake Pavelka,10,Celebrity,2010-03-22,2010-05-25,18.276923076923076
Kate Gosselin,10,Celebrity,2010-03-22,2010-05-25,24.076923076923077
Nicole Scherzinger,10,Celebrity,2010-03-22,2010-05-25,21.984615384615385
Niecy Nash,10,Celebrity,2010-03-22,2010-05-25,12.553846153846154
Pamela Anderson,10,Celebrity,2010-03-22,2010-05-25,17.923076923076923
Shannen Doherty,10,Celebrity,2010-03-22,2010-05-25,8.03076923076923
Anna Trebunskaya,10,Professional,2010-03-22,2010-05-25,15.876923076923077
Ashly DelGrosso,10,Professional,2010-03-22,2010-05-25,3.876923076923077
Chelsie Hightower,10,Professional,2010-03-22,2010-05-25,15.538461538461538
Cheryl Burke,10,Professional,2010-03-22,2010-05-25,18.50769230769231
Damian Whitewood,10,Professional,2010-03-22,2010-05-25,6.492307692307692
Derek Hough,10,Professional,2010-03-22,2010-05-25,26.76923076923077
Edyta Sliwinska,10,Professional,2010-03-22,2010-05-25,8.307692307692308
Louis van Amstel,10,Professional,2010-03-22,2010-05-25,2.6615384615384614
Maksim Chmerkoskiy,10,Professional,2010-03-22,2010-05-25,0.0
Mark Ballas,10,Professional,2010-03-22,2010-05-25,8.584615384615384
Tony Dovolani,10,Professional,2010-03-22,2010-05-25,7.015384615384615
Audrina Patridge,11,Celebrity,2010-09-20,2010-11-23,14.615384615384615
Brandy,11,Celebrity,2010-09-20,2010-11-23,21.784615384615385
Bristol Palin,11,Celebrity,2010-09-20,2010-11-23,15.015384615384615
David Hasselhoff,11,Celebrity,2010-09-20,2010-11-23,5.553846153846154
Florence Henderson,11,Celebrity,2010-09-20,2010-11-23,5.969230769230769
Jennifer Grey,11,Celebrity,2010-09-20,2010-11-23,16.153846153846153
Kurt Warner,11,Celebrity,2010-09-20,2010-11-23,13.476923076923077
Kyle Massey,11,Celebrity,2010-09-20,2010-11-23,13.815384615384616
Margaret Cho,11,Celebrity,2010-09-20,2010-11-23,11.215384615384615
Michael Bolton,11,Celebrity,2010-09-20,2010-11-23,10.446153846153846
Rick Fox,11,Celebrity,2010-09-20,2010-11-23,8.23076923076923
The Situation,11,Celebrity,2010-09-20,2010-11-23,32.4
Anna Trebunskaya,11,Professional,2010-09-20,2010-11-23,9.63076923076923
Chelsie Hightower,11,Professional,2010-09-20,2010-11-23,8.861538461538462
Cheryl Burke,11,Professional,2010-09-20,2010-11-23,25.923076923076923
Corky Ballas,11,Professional,2010-09-20,2010-11-23,8.738461538461538
Derek Hough,11,Professional,2010-09-20,2010-11-23,27.446153846153845
Karina Smirnoff,11,Professional,2010-09-20,2010-11-23,6.338461538461538
Kym Johnson,11,Professional,2010-09-20,2010-11-23,3.4461538461538463
Lacey Schwimmer,11,Professional,2010-09-20,2010-11-23,19.70769230769231
Louis van Amstel,11,Professional,2010-09-20,2010-11-23,
Maksim Chmerkoskiy,11,Professional,2010-09-20,2010-11-23,0.0
Mark Ballas,11,Professional,2010-09-20,2010-11-23,28.53846153846154
Tony Dovolani,11,Professional,2010-09-20,2010-11-23,9.169230769230769
Chelsea Kane,12,Celebrity,2011-03-21,2011-05-24,20.584615384615386
Chris Jericho,12,Celebrity,2011-03-21,2011-05-24,16.876923076923077
Hines Ward,12,Celebrity,2011-03-21,2011-05-24,11.8
Kendra Wilkinson,12,Celebrity,2011-03-21,2011-05-24,28.784615384615385
Kirstie Alley,12,Celebrity,2011-03-21,2011-05-24,15.861538461538462
Mike Catherwood,12,Celebrity,2011-03-21,2011-05-24,
Petra Nemcova,12,Celebrity,2011-03-21,2011-05-24,9.830769230769231
Ralph Macchio,12,Celebrity,2011-03-21,2011-05-24,10.046153846153846
Romeo,12,Celebrity,2011-03-21,2011-05-24,53.41538461538462
Sugar Ray Leonard,12,Celebrity,2011-03-21,2011-05-24,6.8
Wendy Williams,12,Celebrity,2011-03-21,2011-05-24,17.138461538461538
Anna Trebunskaya,12,Professional,2011-03-21,2011-05-24,8.092307692307692
Chelsie Hightower,12,Professional,2011-03-21,2011-05-24,18.8
Cheryl Burke,12,Professional,2011-03-21,2011-05-24,22.6
Dmitry Chaplin,12,Professional,2011-03-21,2011-05-24,9.96923076923077
Karina Smirnoff,12,Professional,2011-03-21,2011-05-24,17.615384615384617
Kym Johnson,12,Professional,2011-03-21,2011-05-24,7.030769230769231
Lacey Schwimmer,12,Professional,2011-03-21,2011-05-24,7.938461538461539
Louis van Amstel,12,Professional,2011-03-21,2011-05-24,12.338461538461539
Maksim Chmerkoskiy,12,Professional,2011-03-21,2011-05-24,0.0
Mark Ballas,12,Professional,2011-03-21,2011-05-24,24.553846153846155
Tony Dovolani,12,Professional,2011-03-21,2011-05-24,8.907692307692308
Carson Kressley,13,Celebrity,2011-09-19,2011-11-22,8.861538461538462
Chaz Bono,13,Celebrity,2011-09-19,2011-11-22,12.153846153846153
Chynna Phillips,13,Celebrity,2011-09-19,2011-11-22,
David Arquette,13,Celebrity,2011-09-19,2011-11-22,14.23076923076923
Elisabetta Canalis,13,Celebrity,2011-09-19,2011-11-22,5.938461538461539
Hope Solo,13,Celebrity,2011-09-19,2011-11-22,21.046153846153846
J.R. Martinez,13,Celebrity,2011-09-19,2011-11-22,15.03076923076923
Kristin Cavallari,13,Celebrity,2011-09-19,2011-11-22,9.892307692307693
Metta World Peace (Ron),13,Celebrity,2011-09-19,2011-11-22,2.276923076923077
Nancy Grace,13,Celebrity,2011-09-19,2011-11-22,7.415384615384616
Ricki Lake,13,Celebrity,2011-09-19,2011-11-22,22.353846153846153
Rob Kardashian,13,Celebrity,2011-09-19,2011-11-22,27.892307692307693
Anna Trebunskaya,13,Professional,2011-09-19,2011-11-22,6.892307692307693
Cheryl Burke,13,Professional,2011-09-19,2011-11-22,22.369230769230768
Derek Hough,13,Professional,2011-09-19,2011-11-22,23.846153846153847
Karina Smirnoff,13,Professional,2011-09-19,2011-11-22,15.892307692307693
Kym Johnson,13,Professional,2011-09-19,2011-11-22,
Lacey Schwimmer,13,Professional,2011-09-19,2011-11-22,11.8
Maksim Chmerkoskiy,13,Professional,2011-09-19,2011-11-22,0.0
Mark Ballas,13,Professional,2011-09-19,2011-11-22,16.446153846153845
Peta Murgatroyd,13,Professional,2011-09-19,2011-11-22,2.7384615384615385
Tony Dovolani,13,Professional,2011-09-19,2011-11-22,6.753846153846154
Tristan MacManus,13,Professional,2011-09-19,2011-11-22,18.953846153846154
Valentin Chmerkovskiy,13,Professional,2011-09-19,2011-11-22,
Donald Driver,14,Celebrity,2012-03-19,2012-05-22,15.4
Gavin DeGraw,14,Celebrity,2012-03-19,2012-05-22,22.523076923076925
Gladys Knight,14,Celebrity,2012-03-19,2012-05-22,6.430769230769231
Jack Wagner,14,Celebrity,2012-03-19,2012-05-22,8.107692307692307
Jaleel White,14,Celebrity,2012-03-19,2012-05-22,15.984615384615385
Katherine Jenkins,14,Celebrity,2012-03-19,2012-05-22,8.753846153846155
Maria Menounos,14,Celebrity,2012-03-19,2012-05-22,19.2
Martina Navratilova,14,Celebrity,2012-03-19,2012-05-22,4.492307692307692
Melissa Gilbert,14,Celebrity,2012-03-19,2012-05-22,11.492307692307692
Roshon Fegan,14,Celebrity,2012-03-19,2012-05-22,15.492307692307692
Sherri Sheperd,14,Celebrity,2012-03-19,2012-05-22,0.0
William Levy,14,Celebrity,2012-03-19,2012-05-22,13.015384615384615
Anna Trebunskaya,14,Professional,2012-03-19,2012-05-22,8.307692307692308
Chelsie Hightower,14,Professional,2012-03-19,2012-05-22,19.03076923076923
Cheryl Burke,14,Professional,2012-03-19,2012-05-22,23.76923076923077
Derek Hough,14,Professional,2012-03-19,2012-05-22,15.76923076923077
Karina Smirnoff,14,Professional,2012-03-19,2012-05-22,26.43076923076923
Kym Johnson,14,Professional,2012-03-19,2012-05-22,14.430769230769231
Maksim Chmerkoskiy,14,Professional,2012-03-19,2012-05-22,0.0
Mark Ballas,14,Professional,2012-03-19,2012-05-22,19.876923076923077
Peta Murgatroyd,14,Professional,2012-03-19,2012-05-22,
Tony Dovolani,14,Professional,2012-03-19,2012-05-22,8.292307692307693
Tristan MacManus,14,Professional,2012-03-19,2012-05-22,12.984615384615385
Valentin Chmerkovskiy,14,Professional,2012-03-19,2012-05-22,0.0
Apolo Anton Ohno,15,Celebrity,2012-09-24,2012-11-27,12.446153846153846
Bristol Palin,15,Celebrity,2012-09-24,2012-11-27,17.6
Drew Lachey,15,Celebrity,2012-09-24,2012-11-27,10.092307692307692
Emmitt Smith,15,Celebrity,2012-09-24,2012-11-27,19.046153846153846
Gilles Marini,15,Celebrity,2012-09-24,2012-11-27,17.676923076923078
Helio Castroneves,15,Celebrity,2012-09-24,2012-11-27,6.230769230769231
Joey Fatone,15,Celebrity,2012-09-24,2012-11-27,9.03076923076923
Kelly Monaco,15,Celebrity,2012-09-24,2012-11-27,18.0
Kirstie Alley,15,Celebrity,2012-09-24,2012-11-27,23.876923076923077
Melissa Rycroft,15,Celebrity,2012-09-24,2012-11-27,14.584615384615384
Pamela Anderson,15,Celebrity,2012-09-24,2012-11-27,13.169230769230769
Sabrina Bryan,15,Celebrity,2012-09-24,2012-11-27,8.03076923076923
Shawn Johnson,15,Celebrity,2012-09-24,2012-11-27,24.0
Anna Trebunskaya,15,Professional,2012-09-24,2012-11-27,6.753846153846154
Chelsie Hightower,15,Professional,2012-09-24,2012-11-27,13.507692307692308
Cheryl Burke,15,Professional,2012-09-24,2012-11-27,18.815384615384616
Derek Hough,15,Professional,2012-09-24,2012-11-27,27.553846153846155
Karina Smirnoff,15,Professional,2012-09-24,2012-11-27,22.56923076923077
Kym Johnson,15,Professional,2012-09-24,2012-11-27,7.0
Louis van Amstel,15,Professional,2012-09-24,2012-11-27,
Maksim Chmerkoskiy,15,Professional,2012-09-24,2012-11-27,1.5384615384615385
Mark Ballas,15,Professional,2012-09-24,2012-11-27,23.184615384615384
Peta Murgatroyd,15,Professional,2012-09-24,2012-11-27,21.846153846153847
Tony Dovolani,15,Professional,2012-09-24,2012-11-27,10.984615384615385
Tristan MacManus,15,Professional,2012-09-24,2012-11-27,4.876923076923077
Valentin Chmerkovskiy,15,Professional,2012-09-24,2012-11-27,11.907692307692308
Alexandra Raisman,16,Celebrity,2013-03-18,2013-05-21,12.169230769230769
Andy Dick,16,Celebrity,2013-03-18,2013-05-21,12.323076923076924
D. L. Hughley,16,Celebrity,2013-03-18,2013-05-21,1.5384615384615385
Dorothy Hamill,16,Celebrity,2013-03-18,2013-05-21,5.246153846153846
Ingo Rademacher,16,Celebrity,2013-03-18,2013-05-21,10.553846153846154
Jacoby Jones,16,Celebrity,2013-03-18,2013-05-21,16.03076923076923
Kellie Pickler,16,Celebrity,2013-03-18,2013-05-21,16.615384615384617
Lisa Vanderpump,16,Celebrity,2013-03-18,2013-05-21,11.2
Sean Lowe,16,Celebrity,2013-03-18,2013-05-21,32.01538461538462
Victor Ortiz,16,Celebrity,2013-03-18,2013-05-21,15.461538461538462
Wynonna Judd,16,Celebrity,2013-03-18,2013-05-21,5.7384615384615385
Zendaya,16,Celebrity,2013-03-18,2013-05-21,23.846153846153847
Cheryl Burke,16,Professional,2013-03-18,2013-05-21,15.646153846153846
